"","node1_mic","node2_mic","MIC","pMIC","regression","p_regression"
"23846","OTU196900661","OTU196900256",0.05421400772308,0.96,-0.593886462882096,0.0990638970983524
"23847","OTU196900662","OTU196900256",0.0495760387037475,1,-0.346153846153846,0.225373824397396
"23848","OTU196900663","OTU196900256",0.05421400772308,0.965,-0.548076923076923,0.0424469037423142
"23849","OTU196900667","OTU196900256",0.0853909499132791,0.771,-0.77292576419214,0.00118917586157171
"23850","OTU196900672","OTU196900256",0.0853909499132791,0.814,-0.707165109034268,0.000187119518754033
"23851","OTU196900262","OTU196900260",0.508725674387315,0.065,0.289124668435013,0.284729862556429
"23852","OTU196900263","OTU196900260",0.370506500549505,0.16,0.2,0.49300373504
"23853","OTU196900264","OTU196900260",0.508725674387315,0.084,0.225896275670031,0.381810465091066
"23854","OTU196900265","OTU196900260",0.257831462459772,0.29,0.0470822281167108,0.850613412480699
"23855","OTU196900266","OTU196900260",0.128085278891394,0.903,-0.230769230769231,0.239950679977103
"23856","OTU196900268","OTU196900260",0.508725674387315,0.058,0.385278514588859,0.135728179526284
"23857","OTU196900269","OTU196900260",0.160112494299011,0.935,-0.125331564986737,0.677887645804166
"23858","OTU196900271","OTU196900260",0.256981189242354,0.588,0.187002652519894,0.50047672592337
"23859","OTU196900274","OTU196900260",0.256981189242354,0.56,0.417771883289125,0.149163727727133
"23860","OTU196900276","OTU196900260",0.120101757808984,0.865,0.0610079575596817,0.625784798135301
"23861","OTU196900277","OTU196900260",0.508725674387315,0.081,0.503296703296703,0.0665604275991132
"23862","OTU196900279","OTU196900260",0.160112494299011,0.906,0.218169761273209,0.466201398133368
"23863","OTU196900280","OTU196900260",0.256981189242354,0.593,0.0324933687002656,0.914547347688483
"23864","OTU196900283","OTU196900260",0.370506500549505,0.143,0.29063696484511,0.284308017222125
"23865","OTU196900284","OTU196900260",0.508725674387315,0.053,0.0424403183023872,0.870864206874195
"23866","OTU196900286","OTU196900260",0.256981189242354,0.493,0.186813186813187,0.522504012379158
"23867","OTU196900287","OTU196900260",0.256981189242354,0.461,0.0324933687002651,0.914547347688485
"23868","OTU196900288","OTU196900260",0.256981189242354,0.573,0.306366047745358,0.300540902988536
"23869","OTU196900289","OTU196900260",0.508725674387315,0.085,0.255305039787799,0.391746924021937
"23870","OTU196900291","OTU196900260",0.508725674387315,0.068,0.0835543766578248,0.782304254495813
"23871","OTU196900292","OTU196900260",0.370506500549505,0.192,-0.190981432360743,0.349201260724626
"23872","OTU196900293","OTU196900260",0.256981189242354,0.601,0.299071618037135,0.298938139271471
"23873","OTU196900295","OTU196900260",0.256981189242354,0.592,0.283516483516484,0.325965947441773
"23874","OTU196900296","OTU196900260",0.257831462459772,0.304,0.00663129973474784,0.980521059845357
"23875","OTU196900297","OTU196900260",0.256981189242354,0.558,-0.09946949602122,0.70222182937609
"23876","OTU196900302","OTU196900260",0.160112494299011,0.922,0.201591511936339,0.489496721188616
"23877","OTU196900303","OTU196900260",0.256981189242354,0.461,0.103296703296703,0.725282211088945
"23878","OTU196900305","OTU196900260",0.160112494299011,0.919,0.206593406593406,0.466201398133368
"23879","OTU196900307","OTU196900260",0.508725674387315,0.063,0.422413793103448,0.0982765888868767
"23880","OTU196900308","OTU196900260",0.160112494299011,0.917,0.125274725274725,0.669582396544844
"23881","OTU196900310","OTU196900260",0.689391746743088,0.017,0.580901856763926,0.0167047325790193
"23882","OTU196900312","OTU196900260",0.256981189242354,0.182,-0.120879120879121,0.29336969038319
"23883","OTU196900314","OTU196900260",0.370506500549505,0.121,-0.389010989010989,0.0346104486779164
"23884","OTU196900315","OTU196900260",0.174454647914913,0.52,0.125994694960212,0.305347123281443
"23885","OTU196900316","OTU196900260",0.370506500549505,0.069,-0.110079575596817,0.354331269764611
"23886","OTU196900317","OTU196900260",0.160112494299011,0.707,-0.101458885941645,0.567504880060518
"23887","OTU196900318","OTU196900260",0.256981189242354,0.597,0.0437665782493368,0.881899878772211
"23888","OTU196900319","OTU196900260",0.370506500549505,0.063,-0.263262599469496,0.0135327194890658
"23889","OTU196900320","OTU196900260",0.508725674387315,0.066,0.552036199095023,0.029585406845711
"23890","OTU196900323","OTU196900260",0.256981189242354,0.385,-0.349450549450549,0.0630223004446058
"23891","OTU196900327","OTU196900260",0.128085278891394,0.836,0.0219780219780219,0.915128726359521
"23892","OTU196900329","OTU196900260",0.256981189242354,0.404,0.102785145888594,0.680071211050094
"23893","OTU196900330","OTU196900260",0.256981189242354,0.48,0.487400530503979,0.0866233871520359
"23894","OTU196900331","OTU196900260",0.508725674387315,0.071,0.319874695440306,0.236042749460141
"23895","OTU196900332","OTU196900260",0.256981189242354,0.175,-0.0725274725274725,0.534778428717447
"23896","OTU196900335","OTU196900260",0.689391746743088,0.01,0.134065934065934,0.647719527985113
"23897","OTU196900336","OTU196900260",0.689391746743088,0.013,0.28968105065666,0.323581601504502
"23898","OTU196900337","OTU196900260",0.370506500549505,0.234,0.0901098901098902,0.759338837815954
"23899","OTU196900338","OTU196900260",0.160112494299011,0.915,-0.241379310344827,0.418897780655186
"23900","OTU196900339","OTU196900260",0.256981189242354,0.574,-0.01657824933687,0.955142711115132
"23901","OTU196900340","OTU196900260",0.689391746743088,0.021,0.728779840848807,0.00450866469395107
"23902","OTU196900341","OTU196900260",0.160112494299011,0.922,-0.164835164835165,0.573346405013138
"23903","OTU196900344","OTU196900260",0.370506500549505,0.135,0.273872679045093,0.357038284082414
"23904","OTU196900347","OTU196900260",0.508725674387315,0.08,0.573626373626374,0.0319708139763969
"23905","OTU196900348","OTU196900260",0.257831462459772,0.316,0.153183023872679,0.611031658510097
"23906","OTU196900349","OTU196900260",0.508725674387315,0.059,0.277851458885941,0.298627198426934
"23907","OTU196900350","OTU196900260",0.508725674387315,0.072,0.1684350132626,0.539921834213404
"23908","OTU196900351","OTU196900260",0.508725674387315,0.064,-0.0241758241758243,0.916811647409725
"23909","OTU196900352","OTU196900260",0.160112494299011,0.86,-0.303050397877984,0.176446725738512
"23910","OTU196900353","OTU196900260",0.985228136034251,0.003,0.106763925729443,0.486072926107977
"23911","OTU196900354","OTU196900260",0.508725674387315,0.078,0.213186813186813,0.347912302000364
"23912","OTU196900355","OTU196900260",0.689391746743088,0.015,0.380636604774536,0.192348633170298
"23913","OTU196900356","OTU196900260",0.257831462459772,0.301,0.0789124668435011,0.794154732933678
"23914","OTU196900357","OTU196900260",0.160112494299011,0.864,0.501326259946949,0.0124571311771
"23915","OTU196900358","OTU196900260",0.0753959373497118,1,-0.153846153846154,0.493399678024231
"23916","OTU196900359","OTU196900260",0.160112494299011,0.857,-0.294505494505494,0.267518390026225
"23917","OTU196900361","OTU196900260",0.370506500549505,0.223,0.252747252747253,0.383314964478511
"23918","OTU196900363","OTU196900260",0.370506500549505,0.203,0.0165782493368699,0.94786471701328
"23919","OTU196900365","OTU196900260",0.402827187811384,0.067,0.0659340659340659,0.580197727523837
"23920","OTU196900366","OTU196900260",0.370506500549505,0.156,-0.167032967032967,0.557368258360957
"23921","OTU196900367","OTU196900260",0.244904709134231,0.416,-0.204907161803714,0.151136652200484
"23922","OTU196900370","OTU196900260",0.256981189242354,0.516,-0.48342175066313,0.00683703596625164
"23923","OTU196900374","OTU196900260",0.74959525725948,0.006,-0.0842175066312997,0.529285055939185
"23924","OTU196900377","OTU196900260",0.370506500549505,0.242,0.0329670329670329,0.910918653071845
"23925","OTU196900383","OTU196900260",0.370506500549505,0.22,0.0373626373626375,0.882993468994902
"23926","OTU196900384","OTU196900260",0.394895099856365,0.091,-0.145888594164456,0.0914314401325699
"23927","OTU196900386","OTU196900260",0.0902763493927646,0.959,-0.0197802197802197,0.910387549483856
"23928","OTU196900387","OTU196900260",0.303165634488916,0.224,-0.0629973474801061,0.677754671364447
