ID	Gb1	Gb2	Gb3	Gb4	Gb5	Gb6	Gb7	Gb8	Gb9	Gb10	Gb11	Gb12	Gb13	Gb14
OTU196900603	399	0	0	0	0	0	629	367	815	320	432	331	0	0
OTU196900604	376	295	0	0	278	325	349	378	0	0	0	0	0	0
OTU196900605	365	321	0	0	318	182	474	540	1012	379	545	607	370	536
OTU196900606	365	339	638	0	383	0	692	413	2321	635	1091	1064	1118	955
OTU196900608	310	258	940	0	0	326	400	496	0	776	0	0	0	0
OTU196900611	0	324	0	1029	0	705	686	575	0	0	0	0	1242	0
OTU196900612	0	312	0	0	212	189	305	0	783	0	310	0	0	0
OTU196900613	0	327	0	0	191	0	690	0	0	357	0	0	0	0
OTU196900614	0	284	0	509	242	0	420	462	795	811	0	364	0	0
OTU196900616	0	246	0	0	315	0	519	0	668	0	0	0	0	0
OTU196900618	0	243	534	1325	168	473	438	879	0	337	502	0	649	0
OTU196900619	0	243	0	0	251	373	657	647	1198	780	391	424	0	0
OTU196900620	0	0	1016	0	260	0	0	376	0	0	438	438	674	694
OTU196900623	0	0	755	0	262	0	299	0	0	0	0	0	0	0
OTU196900624	0	0	609	0	0	0	0	451	666	0	0	199	0	0
OTU196900628	0	0	0	1229	283	0	543	0	0	0	0	0	0	0
OTU196900630	0	0	0	514	0	198	0	0	675	423	0	0	0	0
OTU196900631	0	0	0	496	281	198	454	380	614	434	0	0	0	0
OTU196900635	0	0	0	0	310	0	0	0	0	0	489	292	0	0
OTU196900648	0	0	0	0	0	220	0	0	0	0	428	0	0	514
OTU196900655	0	0	0	0	0	0	0	0	0	0	567	254	0	397
OTU196900656	0	0	0	0	0	0	0	0	0	0	514	307	0	565
OTU196900658	0	0	0	0	0	0	0	0	0	0	407	405	433	0
OTU196900661	0	0	0	0	0	0	0	0	0	0	339	308	373	555
OTU196900662	0	0	0	0	0	0	0	0	0	0	269	257	333	0
OTU196900663	0	0	0	0	0	0	0	0	0	0	362	0	553	438
OTU196900667	0	0	0	0	0	0	0	0	0	0	0	568	534	777
OTU196900672	0	0	0	0	0	0	0	0	0	0	0	293	1030	5041
