"","Gb1","Gb2","Gb3","Gb4","Gb5","Gb6","Gb7","Gb8","Gb9","Gb10","Gb11","Gb12","Gb13","Gb14","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900450",0,0,0,0.446088794926004,0.342494714587738,0,0.595137420718816,0,1,0.334038054968288,0.525369978858351,0.280126849894292,0,0,0.271775898520085,0.201374207188161,0.717225295529391,"X196900450",0.0160939790296877,0.956451897538895,"inc.trend"
"X196900500",0,0.304347826086957,0.377501725327812,0,0.160110420979986,0.283643892339545,0.33264320220842,0,1,0,0,0,0.287094547964113,0,0.245824706694272,0.0717736369910283,0.306230810672198,"X196900500",-0.20344975197774,0.485416773291668,"dec.trend"
"X196900605",0.360671936758893,0.317193675889328,0,0,0.314229249011858,0.179841897233202,0.468379446640316,0.533596837944664,1,0.374505928853755,0.538537549407115,0.599802371541502,0.365612648221344,0.529644268774704,0.354841897233202,0.508399209486166,0.327868920778552,"X196900605",0.432836708716876,0.122135000734712,"inc.trend"
"X196900606",0.157259801809565,0.146057733735459,0.274881516587678,0,0.165015079707023,0,0.298147350280052,0.177940542869453,1,0.273588970271435,0.470056010340371,0.458423093494184,0.481688927186558,0.411460577337355,0.249289099526066,0.455407152089617,0.181976636567215,"X196900606",0.498442770224705,0.0696605663092833,"inc.trend"
"X196900142",0.445876288659794,0.862757731958763,1,0,0.214561855670103,0.143041237113402,0,0.371778350515464,0,0.295103092783505,0,0,0,0,0.333311855670103,0,0.0904849380571788,"X196900142",-0.583070301411029,0.0286326893672828,"decreasing"
"X196900231",0.241009946442234,0.408569242540168,0.482019892884468,0,0,0.345065034429992,0.583014537107881,0.485080336648814,1,0.373374139250191,0,0,0,0,0.391813312930375,0,0.0216200704964831,"X196900231",-0.447060823867686,0.108999873484268,"dec.trend"
"X196900264",0.258389261744966,0.26006711409396,0.718120805369127,0.61744966442953,0,0.628635346756152,0.618568232662192,0.597874720357942,1,0.391498881431767,0,0,0,0,0.509060402684564,0,0.0044435393925146,"X196900264",-0.582329356180322,0.0288847560440932,"decreasing"
"X196900276",0,0.698765432098765,0,0,0,0,1,0.91358024691358,0,0,0,0,0,0,0.261234567901235,0,0.25544444009606,"X196900276",-0.261825476426859,0.365866177169157,"dec.trend"
"X196900294",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0.548626727922509,"X196900294",-0.0744827019900444,0.800224904140219,"dec.trend"
"X196900357",0.506056527590848,0.48250336473755,1,0,0.340511440107672,0.552489905787349,0.631897711978466,0.442126514131898,0,0,0,0,0,0.306191117092867,0.395558546433378,0.0765477792732167,0.0878353037905064,"X196900357",-0.549471726734914,0.0418175174226181,"decreasing"
"X196900358",0,0.159214830970556,0.255906942929844,0.344601962922574,0.492911668484188,0,0,1,0,0.24718284260269,0,0.800799709196656,0,0,0.249981824790985,0.200199927299164,0.807521289095299,"X196900358",-0.0516945478172194,0.860682518744073,"dec.trend"
