"","XOTU","inc_dec_estimate","inc_dec_p_val","fdr","classification"
"192","X196900363",-0.415286297224819,0.123715784289176,0.346703625257955,"dec.trend"
"193","X196900418",-0.172011657596179,0.539876430431012,0.708124672432615,"dec.trend"
"194","X196900425",0.528128245268197,0.0430039637763502,0.217855245064807,"increasing"
"195","X196900431",-0.236146662416547,0.39681245718342,0.588401949024813,"dec.trend"
"196","X196900449",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
"197","X196900451",0.6437526254279,0.00960606617855443,0.098249126852743,"increasing"
"198","X196900481",-0.0944127802011927,0.737862457131606,0.848265817300924,"dec.trend"
"199","X196900488",0.740578450590882,0.00158895358104585,0.0385530316243229,"increasing"
"200","X196900521",0.435935686026678,0.104297210439354,0.322033378869446,"inc.trend"
"201","X196900207",-0.322796958032669,0.240604975258014,0.43640733356581,"dec.trend"
"202","X196900251",0.0590569213784905,0.83439777695466,0.900836944206319,"inc.trend"
"203","X196900284",-0.437217722094079,0.103166454957184,0.321349565778797,"dec.trend"
"204","X196900327",0.074660119292729,0.791440791775511,0.883311337047259,"inc.trend"
"205","X196900329",-0.4539443718762,0.0891897336838473,0.313866162047737,"dec.trend"
"206","X196900359",-0.361698811627577,0.185266539827682,0.389289161674624,"dec.trend"
"207","X196900391",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"208","X196900404",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"209","X196900513",0.522131902272405,0.0458736015495887,0.224717465064159,"increasing"
"210","X196900524",0.493676915021478,0.0614517739074895,0.259311118468903,"inc.trend"
"211","X196900534",0.840308492595534,8.78836927232885e-05,0.00749394143731621,"increasing"
"212","X196900543",0.495205853057827,0.0605284876485956,0.259311118468903,"inc.trend"
"213","X196900559",0.565112171185361,0.0281503580456826,0.175369122419725,"increasing"
"214","X196900582",0.405369672211951,0.133868211054047,0.346703625257955,"inc.trend"
"215","X196900170",-0.337959081565956,0.217944991533096,0.427543153603223,"dec.trend"
"216","X196900220",0.243249447716485,0.382336306502034,0.583374405941529,"inc.trend"
"217","X196900238",0.00598988618065451,0.983097221384815,0.987380869408279,"inc.trend"
"218","X196900248",-0.700434608319094,0.00363594635966236,0.0645047246821771,"decreasing"
"219","X196900315",0.391265789563854,0.149260085784796,0.373961410580387,"inc.trend"
"220","X196900317",-0.535300713408642,0.0397488954936075,0.209097245538416,"decreasing"
"221","X196900351",-0.494814730380071,0.0607637097241537,0.259311118468903,"dec.trend"
"222","X196900353",0.126285990566378,0.653810622143173,0.797372213777785,"inc.trend"
"223","X196900365",0.41685472407269,0.122159883251436,0.346703625257955,"inc.trend"
"224","X196900367",0.398594506050149,0.141121043901639,0.361426673548088,"inc.trend"
"225","X196900382",0.296876767994026,0.282593347882551,0.468617026524663,"inc.trend"
"226","X196900387",-0.129774138291196,0.644822211636701,0.790593190331168,"dec.trend"
"227","X196900392",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"228","X196900399",0.519243707815502,0.047305202105332,0.225648513488114,"increasing"
"229","X196900409",0.310169516361658,0.260547874823635,0.441590331962116,"inc.trend"
"230","X196900424",0.522219082202912,0.0458308927929394,0.224717465064159,"increasing"
"231","X196900445",-0.0429266378315734,0.879266169428147,0.929682807583431,"dec.trend"
"232","X196900473",0.33070302454759,0.228614410064517,0.4319318657958,"inc.trend"
"233","X196900476",0.690977183822649,0.00433762790704445,0.0645047246821771,"increasing"
"234","X196900515",0.783639188587323,0.000546878606115669,0.0215379844193281,"increasing"
"235","X196900539",0.473842875206165,0.0743741567262909,0.276503921377582,"inc.trend"
"236","X196900546",0.658901798866901,0.00755119259925303,0.089258968929632,"increasing"
"237","X196900173",-0.0857115675205063,0.761341492250713,0.869039486794828,"dec.trend"
"238","X196900240",0.021546093106346,0.939247090693864,0.964349462828221,"inc.trend"
"239","X196900244",-0.0117136826872882,0.966951457304734,0.979702465532928,"dec.trend"
"240","X196900299",0.121396124764343,0.666485498773773,0.808552144565024,"inc.trend"
"241","X196900373",0.194549705627576,0.487178225398626,0.667586644494504,"inc.trend"
"242","X196900384",0.553311750232243,0.0323851557777511,0.188981731817003,"increasing"
"243","X196900446",0.312191363970091,0.257289206812075,0.439297497556914,"inc.trend"
"244","X196900461",0.463723928508814,0.0816688184366709,0.294135353900822,"inc.trend"
"245","X196900494",0.643846687485429,0.00959208736551032,0.098249126852743,"increasing"
"246","X196900527",0.788519785893248,0.000477527732412168,0.0215379844193281,"increasing"
"247","X196900533",0.842678757864048,8.02252916407262e-05,0.00749394143731621,"increasing"
"248","X196900152",-0.558349610456261,0.0305224416748038,0.186377407674437,"decreasing"
"249","X196900188",-0.593638315152947,0.0196435655389649,0.153486164634963,"decreasing"
"250","X196900206",0.0156556245209012,0.955838545571675,0.972962013095506,"inc.trend"
"251","X196900256",-0.41145612330851,0.127572321083215,0.346703625257955,"dec.trend"
"252","X196900270",-0.0281175111902107,0.920765245683189,0.956019770855744,"dec.trend"
"253","X196900285",0.0035475606587237,0.989988759157006,0.989988759157006,"inc.trend"
"254","X196900328",-0.154844286161247,0.581617362203868,0.738638027482048,"dec.trend"
"255","X196900369",0.699093435109212,0.00372953881523556,0.0645047246821771,"increasing"
"256","X196900372",0.225221831216681,0.419634389056173,0.588401949024813,"inc.trend"
"257","X196900376",-0.101398401588417,0.719166072953754,0.848265817300924,"dec.trend"
"258","X196900388",-0.406511969862197,0.132670837237654,0.346703625257955,"dec.trend"
"259","X196900410",0.475161660745538,0.0734591324892948,0.275322439654999,"inc.trend"
"260","X196900414",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"261","X196900416",0.362739885829159,0.183911035254751,0.389289161674624,"inc.trend"
"262","X196900420",0.688811287645213,0.00451251188251818,0.0650083743075275,"increasing"
"263","X196900495",0.725136512307223,0.00222066565733568,0.0465330394559886,"increasing"
"264","X196900498",0.871674379277374,2.29634008039922e-05,0.00749394143731621,"increasing"
"265","X196900505",0.829980436316567,0.000128642983741197,0.00847205935781313,"increasing"
"266","X196900509",0.68306773160558,0.00500346479871335,0.0664455408330367,"increasing"
"267","X196900514",0.721496124354663,0.0023955221939571,0.0480145970180096,"increasing"
"268","X196900517",0.6532090422529,0.00827822665342511,0.0908633925530708,"increasing"
"269","X196900520",0.65121941454794,0.00854486807136663,0.0916089344395352,"increasing"
"270","X196900522",0.728693257782025,0.00205986097937358,0.0452188529281533,"increasing"
"271","X196900537",0.635498651256219,0.0108960773756253,0.101554662468624,"increasing"
"272","X196900538",0.622577232179678,0.0131821030835301,0.119155872970733,"increasing"
"273","X196900169",-0.366126994210178,0.179545657262342,0.389289161674624,"dec.trend"
"274","X196900212",-0.42750664936917,0.111947433274517,0.335115368438652,"dec.trend"
"275","X196900261",-0.0436761492212249,0.877172715849819,0.929601429900613,"dec.trend"
"276","X196900272",-0.20151797977949,0.471397565204217,0.650641549578275,"dec.trend"
"277","X196900304",-0.250257739946942,0.3683364591513,0.564129925809798,"dec.trend"
"278","X196900306",-0.461277055396511,0.0835065803672931,0.297109047726649,"dec.trend"
"279","X196900332",-0.00423484709816649,0.988049349234063,0.989988759157006,"dec.trend"
"280","X196900375",0.43897273809391,0.101632448993309,0.321349565778797,"inc.trend"
"281","X196900381",0.278151537010154,0.315469902526039,0.508320503574882,"inc.trend"
"282","X196900386",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"283","X196900393",-0.3968356183723,0.143046440823801,0.364333752595426,"dec.trend"
"284","X196900408",-0.315029822013446,0.252756525080415,0.43640733356581,"dec.trend"
"285","X196900467",0.260771530068357,0.347869781251579,0.541783679584386,"inc.trend"
"286","X196900518",0.349846654177496,0.201156332772465,0.405075051734751,"inc.trend"
"287","X196900528",0.307588821169378,0.264743524351535,0.447057746249296,"inc.trend"
"288","X196900531",0.529538344443733,0.0423489353907337,0.216920657945869,"increasing"
"289","X196900551",0.276393555460172,0.318665131308332,0.508320503574882,"inc.trend"
"290","X19690010",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
"291","X19690011",-0.225085951120758,0.419922432167383,0.588401949024813,"dec.trend"
