Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.716;28192040;0.717;33495880;0.716;32694664;0.717;23100072;0.717;30851588;0.716;33978704;0.717;7972440;0.717;32439556;0.716;30844410;0.717;9781946;0.717;31321900;0.717;33053684;0.717;32298908;0.717;31313904;0.717;34462560;0.716;32793840;0.716;29928704
0.727;26796220;0.727;32706692;0.727;32181800;0.727;22109736;0.727;30001900;0.727;33436024;0.727;8337846;0.727;31569038;0.727;30152556;0.727;13875845;0.727;29789028;0.727;31649166;0.727;31660288;0.727;30320252;0.727;34131464;0.727;32513632;0.727;28047620
0.737;25441848;0.738;31590432;0.737;31541048;0.738;21400940;0.738;27874722;0.737;32866258;0.738;8637303;0.738;30660448;0.737;29170012;0.738;20370670;0.738;27143432;0.738;29250720;0.737;30613632;0.738;28384086;0.738;33516684;0.737;32005460;0.737;26689632
0.748;24654084;0.748;29737280;0.748;30877276;0.748;21012608;0.748;24660902;0.748;32004644;0.748;8730143;0.748;30162832;0.748;27402032;0.748;26904984;0.748;24184592;0.748;27914296;0.748;29014430;0.748;26130844;0.748;32856682;0.748;30867348;0.748;25765378
0.758;23847084;0.758;27952506;0.758;28922906;0.759;20458284;0.759;21850402;0.758;30259852;0.759;8905574;0.759;29888092;0.758;26154272;0.759;30780742;0.759;21607576;0.759;26977764;0.758;27592424;0.758;24814444;0.759;31553060;0.758;29274330;0.758;25114962
0.769;23373420;0.769;26556282;0.769;26055928;0.769;20013616;0.769;20968920;0.769;27579674;0.769;9055696;0.769;29350456;0.769;25190656;0.769;32795244;0.769;19993520;0.769;26527740;0.769;26911264;0.769;24595920;0.769;30080992;0.769;27914304;0.769;24589988
0.791;22839836;0.791;26182412;0.791;19463908;0.791;19668120;0.791;22950718;0.791;20875958;0.791;9433297;0.791;28014500;0.791;25648212;0.791;35228672;0.791;19057732;0.791;26223864;0.791;26015996;0.791;24360768;0.791;27688696;0.791;26492404;0.791;24062456
0.801;22392422;0.801;26227294;0.801;16804652;0.802;19136456;0.801;23402592;0.801;18119364;0.802;9415528;0.802;26500980;0.801;25128854;0.801;35822920;0.802;18783820;0.801;25585548;0.801;25176548;0.801;23875276;0.801;26546096;0.801;25662708;0.801;23541448
0.812;22061482;0.812;26304092;0.812;14905216;0.812;19049816;0.812;23483036;0.812;16076034;0.812;9491449;0.812;25500036;0.812;24825544;0.812;36103864;0.812;18620812;0.812;25289776;0.812;23896762;0.812;23133354;0.812;26267536;0.812;25033508;0.812;23072944
0.822;21665316;0.822;26244600;0.822;13766801;0.823;18730876;0.822;23687690;0.822;14752735;0.823;9374602;0.823;24574156;0.822;24630076;0.822;36432960;0.822;18282372;0.822;25074286;0.822;22754368;0.822;22675284;0.822;26625672;0.822;24863008;0.822;22721728
0.833;21268986;0.833;25972286;0.833;13297423;0.833;18504280;0.833;23804694;0.833;14731343;0.833;9385021;0.833;23928220;0.833;24266970;0.833;36402080;0.833;17566990;0.833;24735424;0.833;22325752;0.833;22677504;0.833;27146312;0.833;24601796;0.833;22449560
0.843;21175540;0.843;25952664;0.843;13377831;0.844;18651590;0.843;23887316;0.843;15254957;0.844;9461266;0.844;23767216;0.843;23844890;0.843;36035708;0.843;17908012;0.843;24783512;0.843;22192314;0.843;22330434;0.843;27805940;0.843;24790832;0.843;22134004
0.854;21293374;0.854;26152252;0.854;13920943;0.854;19036644;0.854;24272716;0.854;15873870;0.854;9620260;0.854;23610128;0.854;23886232;0.854;35516656;0.854;18678912;0.854;24702312;0.854;22200332;0.854;22204220;0.854;28839792;0.854;24992336;0.854;22064244
0.864;21917056;0.864;26416848;0.864;15121223;0.865;19243136;0.864;24493968;0.864;16683920;0.865;9810095;0.864;23624056;0.864;23961152;0.864;35030792;0.864;19569668;0.864;24784848;0.864;22266032;0.864;21797748;0.864;30179380;0.864;25582540;0.864;22501688
0.875;22901436;0.875;26888014;0.875;16902988;0.875;19116420;0.875;24989748;0.875;18087716;0.875;9871473;0.875;24013692;0.875;24299054;0.875;34741576;0.875;21077268;0.875;25056224;0.875;22522016;0.875;21789204;0.875;31186160;0.875;26412212;0.875;23062520
0.885;23821102;0.885;28015512;0.885;19114718;0.886;19439716;0.885;25154312;0.885;20352928;0.886;10060565;0.885;24677720;0.885;24541364;0.885;34951344;0.885;22981376;0.885;25388516;0.885;23116956;0.885;22320586;0.885;32037232;0.885;27538300;0.885;24194436
0.896;25895634;0.896;29207064;0.896;21679290;0.896;20571258;0.896;24853660;0.896;23514434;0.896;10024295;0.896;25705466;0.896;25018352;0.896;35103200;0.896;25260616;0.896;25628402;0.896;24068008;0.896;22978412;0.896;32823010;0.896;28551916;0.896;25775588
