"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900201",0.669969512195122,0.415396341463415,1,0,0.981707317073171,0.540396341463415,0,0,0.489329268292683,0.237042682926829,0.320884146341463,0.919207317073171,0.334603658536585,0.483993902439024,0,0.45093368902439,0.397865853658537,0.783203496905312,"X196900201",-0.21262630123353,0.446764458246026,"dec.trend"
"X196900208",0.367894497498863,0,0.424283765347885,0,0,0,0.916325602546612,0.353797180536608,0.597089586175534,0.534788540245566,0.543883583447021,0.18281036834925,0.544793087767167,1,0.214643019554343,0.257787630741246,0.51685831221984,0.122409216722345,"X196900208",0.384029470367156,0.157599516005418,"inc.trend"
"X196900218",1,0.423880597014925,0.971144278606965,0,0.883582089552239,0.54726368159204,0,0.555223880597015,0.555223880597015,0.421890547263682,0.251741293532338,0.595024875621891,0.387064676616915,0,0,0.547636815920398,0.315849324804549,0.20539133333465,"X196900218",-0.522158705524198,0.0458604677185724,"decreasing"
"X196900230",0.119513255106475,0.280747501086484,0.12277270751847,1,0.247501086484137,0.120382442416341,0,0.11451542807475,0,0,0,0.17296827466319,0.105606258148631,0.319426336375489,0.0910473707083877,0.250679052585832,0.0984354628422425,0.250598376486407,"X196900230",-0.235058201392713,0.399056184861651,"dec.trend"
"X196900234",0.533592989289192,0.386562804284323,0.322297955209348,0.301850048685492,0.510223953261928,0.210321324245375,0,0.350535540408958,0.530671859785784,0.311587147030185,0.3047711781889,0.554040895813048,0.859785783836417,1,0.467380720545278,0.326923076923077,0.575462512171373,0.0465359226256446,"X196900234",0.502419612942294,0.0563079496609855,"inc.trend"
"X196900180",0.424046321525886,1,0.0728882833787466,0.545299727520436,0.863079019073569,0.30483651226158,0.891008174386921,0.124318801089918,0.114782016348774,0,0.0609673024523161,0.192438692098093,0,0,0,0.528184604904632,0.0525982872713118,0.00446611896928037,"X196900180",-0.629467087312643,0.0119211451951782,"decreasing"
"X196900181",1,0,0.900594732370433,0,0.837723024638912,0.498725573491929,0.933729821580289,0.195412064570943,0.503823279524214,0.207306711979609,0.22090059473237,0.309260832625319,0,0,0,0.545773152081563,0.177327345551645,0.0569400202294023,"X196900181",-0.561171188328273,0.0295151023542955,"decreasing"
"X196900184",0.437086092715232,0.622516556291391,0.737306843267108,0,1,0.157468727005151,0,0.123988226637233,0.420161883738043,0.187637969094923,0.167770419426049,0.799116997792494,0.169610007358352,0.901766004415011,0.313097866077999,0.384795805739514,0.422737306843267,0.834913656966913,"X196900184",0.000615424472299302,0.998263228994863,"inc.trend"
"X196900195",0.454033771106942,0.528611632270169,0.580206378986867,0.314727954971857,0.859756097560976,0.379924953095685,0.680581613508443,0.189962476547842,0.424015009380863,0.295966228893058,0.275797373358349,0.698405253283302,0.312382739212007,1,0.267823639774859,0.498475609756098,0.467770034843206,0.812997071421584,"X196900195",0.0123072754629453,0.965277624599701,"inc.trend"
"X196900204",0.320670391061453,0,0,0,0.253258845437616,0.300931098696462,1,0.205586592178771,0.396648044692737,0.253631284916201,0.147858472998138,0.205586592178771,0.126629422718808,0,0.168342644320298,0.260055865921788,0.185528065974993,0.582468210952878,"X196900204",-0.0777483610177625,0.783000329651683,"dec.trend"
"X196900209",0.0584799645127902,0,0.0150820641727044,0.0402927694809996,0,0.188230075410321,1,0.0417714032234216,0.13573857755434,0.101730001478634,0.123244122430874,0.0326778057075262,0.0364483217507024,0.174774508354281,0.211962146976194,0.16798203460003,0.116653640607507,0.703286931847349,"X196900209",0.0604865177415502,0.830441996897888,"inc.trend"
"X196900236",0.0411418005316075,0.14249393274009,0.2792673061366,0.19097422859124,0.462614122269733,0.20773142262799,0.369640587079626,0.050907199815093,0.113428868600485,0.168785392349474,0.134346469432567,1,0.450190685311453,0.561019299664856,0.233445047960245,0.218096324973997,0.380173680474154,0.221159773628133,"X196900236",0.486772648820764,0.0657488836884078,"inc.trend"
"X196900237",0.726847521047708,0.574368568755847,0.709073900841908,0.673526660430309,1,0.5266604303087,0,0.161833489242282,0.517305893358279,0.409728718428438,0.19644527595884,0.558465855940131,0.391019644527596,0,0.495790458372311,0.546538821328344,0.366965120940799,0.226401807367456,"X196900237",-0.470573126056356,0.0766780520264194,"dec.trend"
